ID,Name,HOF,FY,LY,SP,POS,ASG,G,AB,R,H,DB,TP,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,DBTP,BBSB,AVG,SLG,OBP
ceyro01,"Cey, Ron",N,1971,1987,17,3B,0.35,2073,7162,977,1868,328,21,316,1139,24,29,1012,1235,117,62,26,82,185,349,1036,261,445,354
chambch01,"Chambliss, Chris",N,1971,1988,17,1B,0.06,2175,7571,912,2109,392,42,185,972,40,35,632,926,99,27,19,56,166,434,672,279,415,334
chaneda01,"Chaney, Darrel",N,1969,1979,11,SS,0,915,2113,237,458,75,17,14,190,19,18,238,471,43,4,34,12,30,92,257,217,288,296
chitiha01,"Chiti, Harry",N,1950,1962,10,C,0,502,1495,135,356,49,9,41,179,4,7,115,242,17,8,18,13,56,58,119,238,365,294
cimolgi01,"Cimoli, Gino",N,1956,1965,10,OF,0.1,969,3054,370,808,133,48,44,321,21,6,221,474,13,14,43,25,89,181,242,265,383,315
cirilje01,"Cirillo, Jeff",N,1994,2007,14,3B,0.14,1617,5396,800,1598,343,21,112,727,63,37,563,694,18,67,51,59,153,364,626,296,430,366
clarkda05,"Clark, Dave",N,1986,1998,13,OF,0,905,1964,248,518,81,8,62,284,19,12,222,451,21,5,4,16,58,89,241,264,408,338
clarkho01,"Clarke, Horace",N,1965,1974,10,2B,0,1272,4813,548,1230,150,23,27,304,151,58,365,362,18,11,29,24,77,173,516,256,313,308
clarkja01,"Clark, Jack",N,1975,1992,18,OF,0.22,1994,6847,1118,1826,332,39,340,1180,77,61,1262,1441,127,24,9,83,174,371,1339,267,476,379
clarkwi02,"Clark, Will",N,1986,2000,15,1B,0.4,1976,7173,1186,2176,440,47,284,1205,67,48,937,1190,155,59,13,101,100,487,1004,303,497,384
claytro01,"Clayton, Royce",N,1991,2007,17,SS,0.06,2108,7379,935,1904,363,55,110,723,231,100,565,1415,34,45,113,62,218,418,796,258,367,312
clemero01,"Clemente, Roberto",Y,1955,1972,18,OF,0.67,2433,9454,1416,3000,440,166,240,1305,83,46,621,1230,167,35,36,66,275,606,704,317,475,359
clenddo01,"Clendenon, Donn",N,1961,1972,12,1B,0,1362,4648,594,1273,192,57,159,682,90,57,379,1140,46,21,17,47,123,249,469,274,442,328
clinege01,"Clines, Gene",N,1970,1979,10,OF,0,870,2328,314,645,85,24,5,187,71,40,169,291,7,19,26,14,66,109,240,277,341,329
clinety01,"Cline, Ty",N,1960,1971,12,OF,0,892,1834,251,437,53,25,6,125,22,19,153,262,5,21,27,4,19,78,175,238,304,304
colavro01,"Colavito, Rocky",N,1955,1968,14,OF,0.43,1841,6503,971,1730,283,21,374,1159,19,27,951,880,58,29,16,60,182,304,970,266,489,359
colbena01,"Colbert, Nate",N,1966,1976,10,1B,0.3,1004,3422,481,833,141,25,173,520,52,31,383,902,55,23,10,25,82,166,435,243,451,322
colbrgr01,"Colbrunn, Greg",N,1992,2004,13,1B,0,992,2769,337,801,155,12,98,422,29,21,170,444,11,49,2,26,80,167,199,289,460,338
colemvi01,"Coleman, Vince",N,1985,1997,13,OF,0.15,1371,5406,849,1425,176,89,28,346,752,177,477,960,12,15,48,24,45,265,1229,264,345,324
colesda01,"Coles, Darnell",N,1983,1997,14,3B,0,957,2891,333,709,142,14,75,368,20,23,237,445,12,35,25,35,58,156,257,245,382,307
collida02,"Collins, Dave",N,1975,1990,16,OF,0,1701,4907,667,1335,187,52,32,373,395,139,467,660,16,38,64,31,59,239,862,272,351,338
